Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
19,3.0,0.0,4000.0,4.0,1000.0,19000.0,0.09999999999999999,-263.2240054652009,-263.2240054652009,0.0,36.11026883125305,-6.257891389317345,-6.257891389317345,0.0,,,,,,,,,,,,,-24.4448467518,9.05382808078,1.47115155999,-40.0030831179,,,,,,,,,,,,,,,,,,,,,,,,
20,3.0,0.0,5000.0,5.0,1000.0,20000.0,0.09999999999999999,-245.98110461359352,-245.98110461359352,0.0,37.237518310546875,,,,,,,,,,,,,,,,-25.4617364449,11.6869612485,8.72349478294,-38.6646190577,,,,,,,,,,,,,,,,,,,,,,,,
21,4.0,0.0,1000.0,1.0,1000.0,21000.0,0.09999999999999999,-202.10594298276908,-202.10594298276908,0.0,41.00205874443054,-15.335408785232238,-15.335408785232238,0.0,,,,,,,,,,,,,-21.8484661191,18.1274079236,24.2445938733,-47.6574397952,,,,,,,,,,,,,,,,,,,,,,,,
22,4.0,0.0,2000.0,2.0,1000.0,22000.0,0.09999999999999999,,,0.0,43.11872720718384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4.0,0.0,3000.0,3.0,1000.0,23000.0,0.09999999999999999,-249.44980791667996,-249.44980791667996,0.0,44.23178553581238,-20.151785253932665,-20.151785253932665,0.0,,,,,,,,,,,,,-25.1362634464,11.4720849729,11.712773063,-39.602969215,,,,,,,,,,,,,,,,,,,,,,,,
24,4.0,0.0,4000.0,4.0,1000.0,24000.0,0.09999999999999999,,,0.0,46.326765298843384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4.0,0.0,5000.0,5.0,1000.0,25000.0,0.09999999999999999,-274.83513651915445,-274.83513651915445,0.0,47.44044756889343,-18.57082222789189,-18.57082222789189,0.0,,,,,,,,,,,,,-23.4064488979,9.44343460848,-0.971812317228,-42.5965512614,,,,,,,,,,,,,,,,,,,,,,,,
26,5.0,0.0,1000.0,1.0,1000.0,26000.0,0.09999999999999999,,,0.0,51.199655532836914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,5.0,0.0,2000.0,2.0,1000.0,27000.0,0.09999999999999999,-217.12129977543694,-217.12129977543694,0.0,52.352142095565796,-13.284309897594527,-13.284309897594527,0.0,,,,,,,,,,,,,-20.7436636773,12.3310584213,8.50707046816,-45.7279743368,,,,,,,,,,,,,,,,,,,,,,,,
28,5.0,0.0,3000.0,3.0,1000.0,28000.0,0.09999999999999999,,,0.0,54.46598839759827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
